id,documentId,en,ru,fontSize,correctAnswer,answerTime,createdAt,updatedAt,publishedAt,locale
229,"fpcu8v3fc38kjtxj3bo5ciod","인생-","жизнь",16,true,30,"2025-03-24T12:30:48.608Z","2025-03-24T12:30:54.156Z","",""
231,"bwkwju5s4u1hnreofj101kvq","쓰다(써요)","надевать очки кепки",16,true,30,"2025-03-24T12:33:19.082Z","2025-03-24T12:34:55.839Z","",""
235,"ry83qle95qxttl08nx8d4px8","싸우다(싸워요)","драться",16,true,30,"2025-03-24T12:36:28.746Z","2025-03-24T12:36:36.423Z","",""
237,"wxosjgyh5fc6dybi29cmufd3","무섭다(무서워요, 무서운)","страшный",16,true,30,"2025-03-24T12:37:11.459Z","2025-03-24T12:37:18.140Z","",""
239,"b8uu4z9xczhdaqj8jkjp3p5g","(으)ㄹ 수 있다.","играть на гитаре",16,true,30,"2025-03-24T12:37:52.055Z","2025-03-24T12:38:00.355Z","",""
241,"qc5ibazvg0jhlrim67i4ge7r","지뢰","апельсин",16,false,30,"2025-03-24T12:39:38.056Z","2025-03-24T12:39:45.072Z","",""
243,"yol1v7ujkyvavik9mem09mo6","조심하다","спешить",16,false,30,"2025-03-24T12:40:24.234Z","2025-03-24T12:40:32.816Z","",""
245,"ps63c7zfc56hefx8uu8nje3p","겨울","весна",16,false,30,"2025-03-24T12:41:06.734Z","2025-03-24T12:41:13.583Z","",""
247,"zj2kvho1ixavtfj8h6ks5gvt","귤","лимон",16,false,30,"2025-03-24T12:41:53.333Z","2025-03-24T12:42:00.821Z","",""
249,"fbach3a7wula1x2fy9huyrh7","많이 먹다","готовить еду",16,false,30,"2025-03-24T12:42:38.402Z","2025-03-24T12:42:45.961Z","",""
251,"a3mneom4w6nes9imimlraqxq","많이 먹다","невкусный",16,false,30,"2025-03-24T12:43:40.968Z","2025-03-24T12:43:50.673Z","",""
253,"y8bi7gwsxe6ld04uvpr7432w","맛있다.","невкусный",16,false,30,"2025-03-24T12:45:09.340Z","2025-03-24T12:45:16.388Z","",""
255,"te63r4pvox2nj0lcn2gm9ms5","차(자동차)","велосипед",16,false,30,"2025-03-24T12:46:25.536Z","2025-03-24T12:46:35.854Z","",""
257,"dwcx4m9tjxbua9a9brevr686","시간","воздух",16,false,30,"2025-03-24T12:47:21.113Z","2025-03-24T12:47:28.883Z","",""
259,"kg5lg6rzui5gak0efg3fnb3z","여행하다","работать",16,false,30,"2025-03-24T12:48:13.890Z","2025-03-24T12:48:24.785Z","",""
261,"q242h3ilp9np6nghymmtzr0k","놀다(놀아요)","спать",16,false,30,"2025-03-24T12:49:09.989Z","2025-03-24T12:49:18.476Z","",""
263,"d5bv4ajfj9cyamx3fbrr1r37","걷다(걸어요) ","бежать",16,false,30,"2025-03-24T12:49:54.592Z","2025-03-24T12:50:01.712Z","",""
265,"xy2fityaitnbemq32i1afv8e","---(어/아)야 하다","запрещено",16,false,30,"2025-03-24T12:50:40.282Z","2025-03-24T12:50:47.397Z","",""
267,"qkktoq6sct3he59oaduwv2jv","----동안","перед",16,false,30,"2025-03-24T12:51:44.057Z","2025-03-25T08:12:59.222Z","",""
269,"zgh1grmprvj18odfwvra58qp","----(으)ㄹ 때","после",16,false,30,"2025-03-24T12:53:08.904Z","2025-03-24T12:53:15.583Z","",""
271,"xyahcpeainss7u9638uzfqef","항상","иногда",16,false,30,"2025-03-24T12:54:06.070Z","2025-03-24T12:54:14.208Z","",""
273,"mxjjesilaf576cuwr3ch3tj5","공부하다","отдыхать",16,false,30,"2025-03-24T12:55:01.387Z","2025-03-24T12:55:08.844Z","",""
275,"sdiq3zcis86nnjsiaziyoxij","죽다","спать",16,false,30,"2025-03-24T12:56:14.901Z","2025-03-24T12:56:26.352Z","",""
277,"ovx41ydj8ttxwcmw1tjiuwnr","--(으)ㄹ 수 있다","запрещено",16,false,30,"2025-03-24T12:57:32.987Z","2025-03-24T12:57:41.186Z","",""
279,"f70u5vyhsm6uib982489as3u","오랫동안","недолго",16,false,30,"2025-03-24T12:58:16.370Z","2025-03-24T12:58:24.332Z","",""
281,"cebx22c0v100if08d1c02r88","가다","стоять",16,false,30,"2025-03-24T12:58:59.409Z","2025-03-24T12:59:07.294Z","",""
283,"mccke10uwgbiv195csialnum","한번","дважды",16,false,30,"2025-03-24T12:59:47.235Z","2025-03-24T12:59:54.127Z","",""
285,"l79mbvjvm2u2soxwebbb0li9","운동선수","врач",16,false,30,"2025-03-24T13:00:51.671Z","2025-03-24T13:00:58.380Z","",""
287,"zbxbomd01a2anoad4my9vux9","꿈","реальность",16,false,30,"2025-03-24T13:02:54.500Z","2025-03-24T13:03:02.270Z","",""
289,"ibpftws65vi060ehvzh823op","몇 시간","ровно один час",16,false,30,"2025-03-24T13:07:40.497Z","2025-03-24T13:07:48.309Z","",""
291,"y9679u61kfo8zwaomf0hkb70","주말","будни",16,false,30,"2025-03-24T13:08:27.775Z","2025-03-24T13:08:36.501Z","",""
